album_type,artists,external_urls,href,id,images,name,release_date,release_date_precision,total_tracks,type,uri,album_group,is_playable
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/3L7OHIT4kfdcDSnnGM0TKN""}, ""href"": ""https://api.spotify.com/v1/artists/3L7OHIT4kfdcDSnnGM0TKN"", ""id"": ""3L7OHIT4kfdcDSnnGM0TKN"", ""name"": ""El Pinche Mara"", ""type"": ""artist"", ""uri"": ""spotify:artist:3L7OHIT4kfdcDSnnGM0TKN""}]","{""spotify"": ""https://open.spotify.com/album/009RfrV6iVJcoht9FDlX6l""}",https://api.spotify.com/v1/albums/009RfrV6iVJcoht9FDlX6l,009RfrV6iVJcoht9FDlX6l,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2739d05f95cf5c0588f2abc6b81"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e029d05f95cf5c0588f2abc6b81"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048519d05f95cf5c0588f2abc6b81"", ""width"": 64}]",Morfina,2020-05-14,day,1,album,spotify:album:009RfrV6iVJcoht9FDlX6l,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/2hejA1Dkf8v8R0koF44FvW""}, ""href"": ""https://api.spotify.com/v1/artists/2hejA1Dkf8v8R0koF44FvW"", ""id"": ""2hejA1Dkf8v8R0koF44FvW"", ""name"": ""Gera MX"", ""type"": ""artist"", ""uri"": ""spotify:artist:2hejA1Dkf8v8R0koF44FvW""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0U8dIwzBn17JkhYxmznp6T""}, ""href"": ""https://api.spotify.com/v1/artists/0U8dIwzBn17JkhYxmznp6T"", ""id"": ""0U8dIwzBn17JkhYxmznp6T"", ""name"": ""Jayrick"", ""type"": ""artist"", ""uri"": ""spotify:artist:0U8dIwzBn17JkhYxmznp6T""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5FJ0JzZcNCGhquRX2zPmbL""}, ""href"": ""https://api.spotify.com/v1/artists/5FJ0JzZcNCGhquRX2zPmbL"", ""id"": ""5FJ0JzZcNCGhquRX2zPmbL"", ""name"": ""Ervin River"", ""type"": ""artist"", ""uri"": ""spotify:artist:5FJ0JzZcNCGhquRX2zPmbL""}]","{""spotify"": ""https://open.spotify.com/album/00yEYZXNrMn4LUpRGdo4I7""}",https://api.spotify.com/v1/albums/00yEYZXNrMn4LUpRGdo4I7,00yEYZXNrMn4LUpRGdo4I7,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273b47998377169088d0273b3e0"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02b47998377169088d0273b3e0"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851b47998377169088d0273b3e0"", ""width"": 64}]",Complicado,2021-12-17,day,1,album,spotify:album:00yEYZXNrMn4LUpRGdo4I7,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4QFG9KrGWEbr6hNA58CAqE""}, ""href"": ""https://api.spotify.com/v1/artists/4QFG9KrGWEbr6hNA58CAqE"", ""id"": ""4QFG9KrGWEbr6hNA58CAqE"", ""name"": ""Aleman"", ""type"": ""artist"", ""uri"": ""spotify:artist:4QFG9KrGWEbr6hNA58CAqE""}]","{""spotify"": ""https://open.spotify.com/album/01AooA3ywuIEk6EQaoWjh3""}",https://api.spotify.com/v1/albums/01AooA3ywuIEk6EQaoWjh3,01AooA3ywuIEk6EQaoWjh3,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273a369e3b6cea585f8692a2005"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02a369e3b6cea585f8692a2005"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851a369e3b6cea585f8692a2005"", ""width"": 64}]",Rolemos Otro,2016-02-05,day,18,album,spotify:album:01AooA3ywuIEk6EQaoWjh3,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/07PdYoE4jVRF6Ut40GgVSP""}, ""href"": ""https://api.spotify.com/v1/artists/07PdYoE4jVRF6Ut40GgVSP"", ""id"": ""07PdYoE4jVRF6Ut40GgVSP"", ""name"": ""Cartel De Santa"", ""type"": ""artist"", ""uri"": ""spotify:artist:07PdYoE4jVRF6Ut40GgVSP""}]","{""spotify"": ""https://open.spotify.com/album/01UJJt3Aregqk8jZMDPB5x""}",https://api.spotify.com/v1/albums/01UJJt3Aregqk8jZMDPB5x,01UJJt3Aregqk8jZMDPB5x,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b27360883025b91f449fc40f54df"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e0260883025b91f449fc40f54df"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d0000485160883025b91f449fc40f54df"", ""width"": 64}]",Vol. II,2004-07-28,day,16,album,spotify:album:01UJJt3Aregqk8jZMDPB5x,,
album,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4QFG9KrGWEbr6hNA58CAqE""}, ""href"": ""https://api.spotify.com/v1/artists/4QFG9KrGWEbr6hNA58CAqE"", ""id"": ""4QFG9KrGWEbr6hNA58CAqE"", ""name"": ""Aleman"", ""type"": ""artist"", ""uri"": ""spotify:artist:4QFG9KrGWEbr6hNA58CAqE""}]","{""spotify"": ""https://open.spotify.com/album/01VepFuJgEdDQnvVEykhk6""}",https://api.spotify.com/v1/albums/01VepFuJgEdDQnvVEykhk6,01VepFuJgEdDQnvVEykhk6,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2739db94ed73644aa0998e7696b"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e029db94ed73644aa0998e7696b"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048519db94ed73644aa0998e7696b"", ""width"": 64}]",Humo en la Trampa,2019-01-01,day,11,album,spotify:album:01VepFuJgEdDQnvVEykhk6,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1FCItwxfRieMGhR0eRxotU""}, ""href"": ""https://api.spotify.com/v1/artists/1FCItwxfRieMGhR0eRxotU"", ""id"": ""1FCItwxfRieMGhR0eRxotU"", ""name"": ""Rich Vagos"", ""type"": ""artist"", ""uri"": ""spotify:artist:1FCItwxfRieMGhR0eRxotU""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/0U8dIwzBn17JkhYxmznp6T""}, ""href"": ""https://api.spotify.com/v1/artists/0U8dIwzBn17JkhYxmznp6T"", ""id"": ""0U8dIwzBn17JkhYxmznp6T"", ""name"": ""Jayrick"", ""type"": ""artist"", ""uri"": ""spotify:artist:0U8dIwzBn17JkhYxmznp6T""}, {""external_urls"": {""spotify"": ""https://open.spotify.com/artist/1tuNNda2SSH3o4lUms5K6C""}, ""href"": ""https://api.spotify.com/v1/artists/1tuNNda2SSH3o4lUms5K6C"", ""id"": ""1tuNNda2SSH3o4lUms5K6C"", ""name"": ""Sebastian Esquivel"", ""type"": ""artist"", ""uri"": ""spotify:artist:1tuNNda2SSH3o4lUms5K6C""}]","{""spotify"": ""https://open.spotify.com/album/02r5GQTeyId72iagm3Gxm1""}",https://api.spotify.com/v1/albums/02r5GQTeyId72iagm3Gxm1,02r5GQTeyId72iagm3Gxm1,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2738f998c5aebc632aee41b4e84"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e028f998c5aebc632aee41b4e84"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048518f998c5aebc632aee41b4e84"", ""width"": 64}]",Adiamantado,2023-04-28,day,1,album,spotify:album:02r5GQTeyId72iagm3Gxm1,single,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4Hzj6dfl1y5x5TzCSsvLB6""}, ""href"": ""https://api.spotify.com/v1/artists/4Hzj6dfl1y5x5TzCSsvLB6"", ""id"": ""4Hzj6dfl1y5x5TzCSsvLB6"", ""name"": ""Remik Gonzalez"", ""type"": ""artist"", ""uri"": ""spotify:artist:4Hzj6dfl1y5x5TzCSsvLB6""}]","{""spotify"": ""https://open.spotify.com/album/02yKeyAvEbnVAZbfqAjg5E""}",https://api.spotify.com/v1/albums/02yKeyAvEbnVAZbfqAjg5E,02yKeyAvEbnVAZbfqAjg5E,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273157fa7b98520bcf4e9a43282"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02157fa7b98520bcf4e9a43282"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851157fa7b98520bcf4e9a43282"", ""width"": 64}]",Como Si Nada,2021-10-08,day,1,album,spotify:album:02yKeyAvEbnVAZbfqAjg5E,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5lYeiQxUTcGKVgAuTqbTeL""}, ""href"": ""https://api.spotify.com/v1/artists/5lYeiQxUTcGKVgAuTqbTeL"", ""id"": ""5lYeiQxUTcGKVgAuTqbTeL"", ""name"": ""Charles Ans"", ""type"": ""artist"", ""uri"": ""spotify:artist:5lYeiQxUTcGKVgAuTqbTeL""}]","{""spotify"": ""https://open.spotify.com/album/04MJFDXcwKuZizmnMKqyhb""}",https://api.spotify.com/v1/albums/04MJFDXcwKuZizmnMKqyhb,04MJFDXcwKuZizmnMKqyhb,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b273b60bc22a5986739614e091f3"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e02b60bc22a5986739614e091f3"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d00004851b60bc22a5986739614e091f3"", ""width"": 64}]",Hasta Que la Muerte Nos Separe,2020-02-12,day,1,album,spotify:album:04MJFDXcwKuZizmnMKqyhb,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/5lYeiQxUTcGKVgAuTqbTeL""}, ""href"": ""https://api.spotify.com/v1/artists/5lYeiQxUTcGKVgAuTqbTeL"", ""id"": ""5lYeiQxUTcGKVgAuTqbTeL"", ""name"": ""Charles Ans"", ""type"": ""artist"", ""uri"": ""spotify:artist:5lYeiQxUTcGKVgAuTqbTeL""}]","{""spotify"": ""https://open.spotify.com/album/0503zQbeyfwiMZ2hObZsei""}",https://api.spotify.com/v1/albums/0503zQbeyfwiMZ2hObZsei,0503zQbeyfwiMZ2hObZsei,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b2735500c667a1b921dfa246ac05"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e025500c667a1b921dfa246ac05"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d000048515500c667a1b921dfa246ac05"", ""width"": 64}]",Empapelado,2020-09-25,day,1,album,spotify:album:0503zQbeyfwiMZ2hObZsei,,
single,"[{""external_urls"": {""spotify"": ""https://open.spotify.com/artist/4Hzj6dfl1y5x5TzCSsvLB6""}, ""href"": ""https://api.spotify.com/v1/artists/4Hzj6dfl1y5x5TzCSsvLB6"", ""id"": ""4Hzj6dfl1y5x5TzCSsvLB6"", ""name"": ""Remik Gonzalez"", ""type"": ""artist"", ""uri"": ""spotify:artist:4Hzj6dfl1y5x5TzCSsvLB6""}]","{""spotify"": ""https://open.spotify.com/album/05DldXdPR0ngd0KEaFD704""}",https://api.spotify.com/v1/albums/05DldXdPR0ngd0KEaFD704,05DldXdPR0ngd0KEaFD704,"[{""height"": 640, ""url"": ""https://i.scdn.co/image/ab67616d0000b27370641c3efecb5b9b1d386460"", ""width"": 640}, {""height"": 300, ""url"": ""https://i.scdn.co/image/ab67616d00001e0270641c3efecb5b9b1d386460"", ""width"": 300}, {""height"": 64, ""url"": ""https://i.scdn.co/image/ab67616d0000485170641c3efecb5b9b1d386460"", ""width"": 64}]",Cuadernos al Horno,2016-06-20,day,1,album,spotify:album:05DldXdPR0ngd0KEaFD704,,
