external_urls,href,id,name,type,uri
"{""spotify"": ""https://open.spotify.com/artist/00dwwnz3V4kRfu3UFYpJLz""}",https://api.spotify.com/v1/artists/00dwwnz3V4kRfu3UFYpJLz,00dwwnz3V4kRfu3UFYpJLz,Cherub,artist,spotify:artist:00dwwnz3V4kRfu3UFYpJLz
"{""spotify"": ""https://open.spotify.com/artist/014WIDx7H4BRCHB1faiisK""}",https://api.spotify.com/v1/artists/014WIDx7H4BRCHB1faiisK,014WIDx7H4BRCHB1faiisK,Los Tucanes De Tijuana,artist,spotify:artist:014WIDx7H4BRCHB1faiisK
"{""spotify"": ""https://open.spotify.com/artist/029TNxYpdZWjCidyQjNmgE""}",https://api.spotify.com/v1/artists/029TNxYpdZWjCidyQjNmgE,029TNxYpdZWjCidyQjNmgE,Homero Guerrero y Lupe Tijerina,artist,spotify:artist:029TNxYpdZWjCidyQjNmgE
"{""spotify"": ""https://open.spotify.com/artist/02Nbktg6lCJiazPM6YYTMz""}",https://api.spotify.com/v1/artists/02Nbktg6lCJiazPM6YYTMz,02Nbktg6lCJiazPM6YYTMz,Miguel Mateos,artist,spotify:artist:02Nbktg6lCJiazPM6YYTMz
"{""spotify"": ""https://open.spotify.com/artist/04cas0EFOUlG1f5exg4s1Z""}",https://api.spotify.com/v1/artists/04cas0EFOUlG1f5exg4s1Z,04cas0EFOUlG1f5exg4s1Z,Dee Jay Masae,artist,spotify:artist:04cas0EFOUlG1f5exg4s1Z
"{""spotify"": ""https://open.spotify.com/artist/05BlA7vN6o1m2dsGOgaODY""}",https://api.spotify.com/v1/artists/05BlA7vN6o1m2dsGOgaODY,05BlA7vN6o1m2dsGOgaODY,Danny Brasco,artist,spotify:artist:05BlA7vN6o1m2dsGOgaODY
"{""spotify"": ""https://open.spotify.com/artist/077cgSU8i5wTnz5lZGQ7z4""}",https://api.spotify.com/v1/artists/077cgSU8i5wTnz5lZGQ7z4,077cgSU8i5wTnz5lZGQ7z4,Maria Daniela Y Su Sonido Lasser,artist,spotify:artist:077cgSU8i5wTnz5lZGQ7z4
"{""spotify"": ""https://open.spotify.com/artist/07H7kklAEFGHh0VxZNJ9bD""}",https://api.spotify.com/v1/artists/07H7kklAEFGHh0VxZNJ9bD,07H7kklAEFGHh0VxZNJ9bD,The Seler,artist,spotify:artist:07H7kklAEFGHh0VxZNJ9bD
"{""spotify"": ""https://open.spotify.com/artist/07PdYoE4jVRF6Ut40GgVSP""}",https://api.spotify.com/v1/artists/07PdYoE4jVRF6Ut40GgVSP,07PdYoE4jVRF6Ut40GgVSP,Cartel De Santa,artist,spotify:artist:07PdYoE4jVRF6Ut40GgVSP
"{""spotify"": ""https://open.spotify.com/artist/0927qApSSzZjH8F0Oyjrrv""}",https://api.spotify.com/v1/artists/0927qApSSzZjH8F0Oyjrrv,0927qApSSzZjH8F0Oyjrrv,Dein Sane,artist,spotify:artist:0927qApSSzZjH8F0Oyjrrv
"{""spotify"": ""https://open.spotify.com/artist/0BUAw0HerrYAE0pUYlt12f""}",https://api.spotify.com/v1/artists/0BUAw0HerrYAE0pUYlt12f,0BUAw0HerrYAE0pUYlt12f,Hata Proof Records Presents Mr Nava,artist,spotify:artist:0BUAw0HerrYAE0pUYlt12f
