id,played_at
3lz2JgAt4cyr04qDlBgTOv,2018-01-10T19:46:56Z
1XRgIKC5TPwo7nWGyKqgG0,2018-01-10T19:50:49Z
7AshCoGdQcLEK5Eqpz3Bvg,2018-01-10T19:54:39Z
75FDPwaULRdYDn4StFN2rT,2018-01-10T19:58:24Z
22nyEAEM29tcBRhukR089b,2018-01-10T20:03:51Z
1CJBQgltFGmq9xe6FZErUD,2018-01-10T20:11:35Z
1RV94eCJdgpc8g9oFNaUze,2018-01-11T00:47:37Z
3Vo4wInECJQuz9BIBMOu8i,2018-01-12T18:06:06Z
22nyEAEM29tcBRhukR089b,2018-01-12T18:06:06Z
3lz2JgAt4cyr04qDlBgTOv,2018-01-12T18:06:06Z
1RV94eCJdgpc8g9oFNaUze,2018-01-12T18:06:06Z
6sXOOOP43eMqDyma4BlirP,2018-01-12T18:06:06Z
3sb6NagmHdUeFIH02QIqrq,2018-01-12T18:06:06Z
1XRgIKC5TPwo7nWGyKqgG0,2018-01-12T18:06:06Z
29wVPCj3jwyL0cwuKBF0Zg,2018-01-12T18:06:06Z
3ISSJmu5n98ulX8yjM9ixk,2018-01-12T18:06:06Z
18Jb6dkdAvXR04Dxcn5ugQ,2018-01-12T18:06:06Z
75FDPwaULRdYDn4StFN2rT,2018-01-12T18:06:06Z
7KeBFM0MZSktLgNXRiPRPW,2018-01-12T18:06:06Z
7AshCoGdQcLEK5Eqpz3Bvg,2018-01-12T18:06:06Z
2nJHf1rDPMtDulPyEPa7D8,2018-01-12T18:06:06Z
67e978D8cffnAWJLmXxoum,2018-01-12T18:06:06Z
6DB2KOEwHnjkgEnBt5SdeJ,2018-01-12T18:06:06Z
1CJBQgltFGmq9xe6FZErUD,2018-01-12T18:06:06Z
5nN8BwAQDJDguq7Dpd3JQQ,2018-01-12T18:06:06Z
40dJ9cVDpLlVZQPFjyZAe0,2018-01-12T18:06:06Z
3kxfsdsCpFgN412fpnW85Y,2018-01-12T18:06:06Z
5nN8BwAQDJDguq7Dpd3JQQ,2018-01-12T18:06:07Z
67e978D8cffnAWJLmXxoum,2018-01-12T18:06:07Z
29wVPCj3jwyL0cwuKBF0Zg,2018-01-12T18:06:07Z
2nJHf1rDPMtDulPyEPa7D8,2018-01-12T18:06:07Z
18Jb6dkdAvXR04Dxcn5ugQ,2018-01-12T18:06:07Z
40dJ9cVDpLlVZQPFjyZAe0,2018-01-12T18:06:07Z
3sb6NagmHdUeFIH02QIqrq,2018-01-12T18:06:07Z
6sXOOOP43eMqDyma4BlirP,2018-01-12T18:06:07Z
51rXHuKN8Loc4sUlKPODgH,2018-01-12T18:10:34Z
2SIdGJTWirTxRNEyCp9ocI,2018-01-12T18:15:18Z
6Hr77eZSmaVGgH0vVulMUH,2018-01-12T18:48:02Z
3lz2JgAt4cyr04qDlBgTOv,2018-01-12T18:50:35Z
1XRgIKC5TPwo7nWGyKqgG0,2018-01-12T18:54:29Z
7AshCoGdQcLEK5Eqpz3Bvg,2018-01-12T18:58:19Z
75FDPwaULRdYDn4StFN2rT,2018-01-12T19:02:04Z
22nyEAEM29tcBRhukR089b,2018-01-12T19:05:46Z
1CJBQgltFGmq9xe6FZErUD,2018-01-12T19:09:55Z
1RV94eCJdgpc8g9oFNaUze,2018-01-12T19:15:28Z
5nN8BwAQDJDguq7Dpd3JQQ,2018-01-12T19:18:56Z
40dJ9cVDpLlVZQPFjyZAe0,2018-01-12T19:23:28Z
6sXOOOP43eMqDyma4BlirP,2018-01-12T19:26:30Z
67e978D8cffnAWJLmXxoum,2018-01-12T19:57:00Z
18Jb6dkdAvXR04Dxcn5ugQ,2018-01-12T20:02:09Z
2nJHf1rDPMtDulPyEPa7D8,2018-01-12T20:06:27Z
29wVPCj3jwyL0cwuKBF0Zg,2018-01-12T20:10:06Z
3sb6NagmHdUeFIH02QIqrq,2018-01-12T20:13:32Z
3kxfsdsCpFgN412fpnW85Y,2018-01-12T21:04:57Z
3sb6NagmHdUeFIH02QIqrq,2018-01-12T21:17:24Z
67e978D8cffnAWJLmXxoum,2018-01-12T21:21:17Z
0mzJfhcHqE2UPdPTgLK0w9,2018-01-12T21:26:58Z
1Pm0ZcnRbu7XZFVBvVNfbX,2018-01-12T21:32:20Z
6rRJe9dYSobGq6mY72WkVM,2018-01-12T21:35:21Z
5badBrcNvFub5If1Mz93uL,2018-01-12T21:39:54Z
2G3RryTapBsq0sPxlYQsb9,2018-01-12T21:43:14Z
2wvPYc9E4HGLr7cDSADlNq,2018-01-12T21:46:46Z
0O5PDNOkH5JkGMzO1H3BU6,2018-01-12T21:52:34Z
2dsPcMZKwBoJvmf7ycxQ6T,2018-01-12T21:57:18Z
7AshCoGdQcLEK5Eqpz3Bvg,2018-01-12T22:01:08Z
6gpQhKgzekrZvmYb5LZ8dW,2018-01-12T22:05:27Z
75k3aWg6bcnVaR2C3FJypk,2018-01-12T22:10:37Z
5ThwuERbK2z0sLsI7sRnlr,2018-01-13T01:11:10Z
5ThwuERbK2z0sLsI7sRnlr,2018-01-13T01:13:48Z
1oTr4QvEtyXhurMb58EUG1,2018-01-13T01:17:42Z
2zGl77tnAw9Q2YrmjYpy5i,2018-01-13T01:21:55Z
79tbIk9pRmIPUCkVKIGQP5,2018-01-13T01:25:49Z
2q4FrUA2JhyZynlwptrSY9,2018-01-13T01:28:52Z
1gG4q7ldZAEbgUzFpfLn4l,2018-01-13T03:05:01Z
1gG4q7ldZAEbgUzFpfLn4l,2018-01-13T03:07:49Z
1TTCJUngBzr6jVuszsUJkQ,2018-01-13T03:11:41Z
0L9Le0DcYqD0qmfH2ngntR,2018-01-13T03:12:13Z
3sb6NagmHdUeFIH02QIqrq,2018-01-13T03:15:37Z
67e978D8cffnAWJLmXxoum,2018-01-14T20:22:46Z
67e978D8cffnAWJLmXxoum,2018-01-16T21:12:22Z
3lz2JgAt4cyr04qDlBgTOv,2018-01-16T21:14:56Z
1XRgIKC5TPwo7nWGyKqgG0,2018-01-16T21:18:50Z
7AshCoGdQcLEK5Eqpz3Bvg,2018-01-16T21:22:40Z
75FDPwaULRdYDn4StFN2rT,2018-01-16T21:26:24Z
22nyEAEM29tcBRhukR089b,2018-01-16T21:30:06Z
1RV94eCJdgpc8g9oFNaUze,2018-01-16T21:54:57Z
1CJBQgltFGmq9xe6FZErUD,2018-01-16T21:54:57Z
5nN8BwAQDJDguq7Dpd3JQQ,2018-01-16T21:58:21Z
40dJ9cVDpLlVZQPFjyZAe0,2018-01-16T22:21:09Z
6sXOOOP43eMqDyma4BlirP,2018-01-16T22:24:11Z
67e978D8cffnAWJLmXxoum,2018-01-16T22:28:04Z
18Jb6dkdAvXR04Dxcn5ugQ,2018-01-16T22:39:34Z
2nJHf1rDPMtDulPyEPa7D8,2018-01-16T22:43:52Z
29wVPCj3jwyL0cwuKBF0Zg,2018-01-16T22:47:32Z
3sb6NagmHdUeFIH02QIqrq,2018-01-16T22:50:58Z
3kxfsdsCpFgN412fpnW85Y,2018-01-16T22:56:25Z
3ISSJmu5n98ulX8yjM9ixk,2018-01-16T22:59:30Z
7KeBFM0MZSktLgNXRiPRPW,2018-01-16T23:03:20Z
6DB2KOEwHnjkgEnBt5SdeJ,2018-01-16T23:07:38Z
3Vo4wInECJQuz9BIBMOu8i,2018-01-16T23:11:16Z
513f4IRgkvB6N6plnCv5zK,2018-01-16T23:12:06Z
3sb6NagmHdUeFIH02QIqrq,2018-01-16T23:15:31Z
67e978D8cffnAWJLmXxoum,2018-01-16T23:19:24Z
0mzJfhcHqE2UPdPTgLK0w9,2018-01-17T01:43:34Z
0mzJfhcHqE2UPdPTgLK0w9,2018-01-17T01:49:18Z
1Pm0ZcnRbu7XZFVBvVNfbX,2018-01-17T01:54:39Z
6rRJe9dYSobGq6mY72WkVM,2018-01-17T15:32:07Z
3sb6NagmHdUeFIH02QIqrq,2018-01-17T16:57:17Z
1M6m3xfwinMZQ2ZvpgyoJz,2018-01-17T17:01:32Z
1920FDYUrHiTD0AjSvd84n,2018-01-17T17:05:41Z
7l6DilARDQgj7HLgQ9lAN4,2018-01-17T17:10:36Z
7wQnxrNTZiOPjZu1kXUttb,2018-01-17T17:15:23Z
1TGL0zcPzuqwFP60lNsjsm,2018-01-17T17:19:34Z
5n3bIbzcNYsWG9DJ6ff2sg,2018-01-17T17:31:35Z
5MLb2Oa1IGf2Cs9VKIXQnT,2018-01-17T17:34:50Z
70UaWpMdFS0OtFQWC48Klj,2018-01-17T17:47:25Z
2G3RryTapBsq0sPxlYQsb9,2018-01-17T17:50:46Z
5WTGI9ChtTWEyqHUwyYzDI,2018-01-17T17:54:17Z
1rGqHFnZNmhNHXDG1V53hT,2018-01-17T17:59:13Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-17T18:02:42Z
5ReF8af2s5RBIve3JvWxI6,2018-01-17T18:06:43Z
2HCeXi8UG0lTN5T7PvgaGs,2018-01-17T18:09:49Z
2wJLgH6WAAJv0kYDqJPiC1,2018-01-17T18:17:03Z
6nFlDEIS4a6KflpLuqavKX,2018-01-17T18:21:11Z
1GUK48Vm37ng2jwxWjWb4z,2018-01-17T18:29:38Z
2pZ5cBWrBm5zpoLbG3FoQi,2018-01-17T18:32:06Z
6Tod7K66GZUGReQS8G4KRI,2018-01-17T18:35:52Z
48yFrzTcnTCklWL9PRVZJj,2018-01-17T18:39:39Z
31kVlP84trBZot6zvSGwPf,2018-01-17T18:42:25Z
6z5ARS2M5ZTOP2wp6OUAlZ,2018-01-17T18:46:10Z
6fJXQTwS1TlJZZV5zqBI3f,2018-01-17T18:49:04Z
0vZS0G95p05nhZp52wt0zd,2018-01-17T18:52:32Z
5Jgo5cDlZaz2JlZgHEgbgN,2018-01-17T23:06:26Z
3sb6NagmHdUeFIH02QIqrq,2018-01-17T23:06:42Z
5Jgo5cDlZaz2JlZgHEgbgN,2018-01-17T23:09:48Z
2wJLgH6WAAJv0kYDqJPiC1,2018-01-17T23:10:12Z
5ReF8af2s5RBIve3JvWxI6,2018-01-17T23:10:26Z
3sb6NagmHdUeFIH02QIqrq,2018-01-17T23:13:52Z
5badBrcNvFub5If1Mz93uL,2018-01-17T23:18:24Z
5Jgo5cDlZaz2JlZgHEgbgN,2018-01-17T23:18:42Z
1tg4Sm0RY0HMReaI0YmJuM,2018-01-17T23:21:50Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-17T23:25:19Z
2HCeXi8UG0lTN5T7PvgaGs,2018-01-17T23:28:25Z
1GUK48Vm37ng2jwxWjWb4z,2018-01-17T23:31:55Z
6UnyyqH6a1RBgx87DwWgVO,2018-01-17T23:34:46Z
5pAO5mwG9j5LaBPkVQTkok,2018-01-17T23:41:03Z
5hJgjCZol0fmTRoEUGNvK2,2018-01-17T23:44:56Z
2G3RryTapBsq0sPxlYQsb9,2018-01-17T23:48:16Z
4BgGydKTOOrVGaaoo4Rrq8,2018-01-17T23:53:12Z
7esOHMVot1TmGrXM6o7Ewt,2018-01-17T23:57:17Z
5MLb2Oa1IGf2Cs9VKIXQnT,2018-01-17T23:57:50Z
6Tod7K66GZUGReQS8G4KRI,2018-01-18T00:05:54Z
70UaWpMdFS0OtFQWC48Klj,2018-01-18T00:10:18Z
1M6m3xfwinMZQ2ZvpgyoJz,2018-01-18T00:14:34Z
2pZ5cBWrBm5zpoLbG3FoQi,2018-01-18T00:17:01Z
6nFlDEIS4a6KflpLuqavKX,2018-01-18T00:17:13Z
5ReF8af2s5RBIve3JvWxI6,2018-01-18T00:21:13Z
2wJLgH6WAAJv0kYDqJPiC1,2018-01-18T00:21:22Z
5WTGI9ChtTWEyqHUwyYzDI,2018-01-18T00:21:24Z
1rGqHFnZNmhNHXDG1V53hT,2018-01-18T00:21:26Z
1I6aiLIGgrx7uEqausJgx5,2018-01-18T00:25:26Z
4FE8Z7hRcMJY0Pvj5mmkGC,2018-01-18T00:29:50Z
77m3LSo4IJmbOgWRg6cwEF,2018-01-18T00:34:57Z
48yFrzTcnTCklWL9PRVZJj,2018-01-18T00:38:43Z
0O5PDNOkH5JkGMzO1H3BU6,2018-01-18T00:44:31Z
6Tod7K66GZUGReQS8G4KRI,2018-01-18T17:33:31Z
2EA2eOA4ypmrODEh0FXgLI,2018-01-18T17:36:06Z
5ThwuERbK2z0sLsI7sRnlr,2018-01-18T17:39:01Z
6rRJe9dYSobGq6mY72WkVM,2018-01-18T17:42:03Z
2kd0T6zgABT8P0s2h9QU5O,2018-01-18T17:48:05Z
1mGYrytPYlQXdBhxMTY3ZW,2018-01-18T17:51:22Z
0vZS0G95p05nhZp52wt0zd,2018-01-18T18:03:01Z
6ik8blK3XIn2Uf99XiA9fz,2018-01-18T18:04:00Z
1920FDYUrHiTD0AjSvd84n,2018-01-18T18:08:09Z
4yZf3ui3Jc8dx8MMVZtHWE,2018-01-18T18:11:43Z
4FE8Z7hRcMJY0Pvj5mmkGC,2018-01-18T18:18:13Z
1tg4Sm0RY0HMReaI0YmJuM,2018-01-18T18:21:20Z
2f30m4XplPuj5gqwrjQA6D,2018-01-18T18:26:53Z
2wJLgH6WAAJv0kYDqJPiC1,2018-01-18T18:27:36Z
4I5OHYK0mgu9c36BBLIgpH,2018-01-18T18:31:18Z
77jRBr9Dgm7SiEBFBI3BGD,2018-01-18T18:35:12Z
6fJXQTwS1TlJZZV5zqBI3f,2018-01-18T18:38:06Z
5Jgo5cDlZaz2JlZgHEgbgN,2018-01-18T18:41:11Z
5badBrcNvFub5If1Mz93uL,2018-01-18T18:50:27Z
7gU5guxpuBrS9PWCd3MKHB,2018-01-18T18:53:54Z
6Tod7K66GZUGReQS8G4KRI,2018-01-18T18:59:33Z
77m3LSo4IJmbOgWRg6cwEF,2018-01-18T19:04:40Z
2RhZI0Ljg8nnouhwPIOHWc,2018-01-18T19:08:07Z
2pZ5cBWrBm5zpoLbG3FoQi,2018-01-18T19:10:35Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-18T19:41:14Z
5pAO5mwG9j5LaBPkVQTkok,2018-01-18T19:45:17Z
2HCeXi8UG0lTN5T7PvgaGs,2018-01-18T19:48:23Z
5WTGI9ChtTWEyqHUwyYzDI,2018-01-18T19:51:54Z
31kVlP84trBZot6zvSGwPf,2018-01-18T19:54:40Z
7l6DilARDQgj7HLgQ9lAN4,2018-01-18T21:56:44Z
31kVlP84trBZot6zvSGwPf,2018-01-18T21:56:46Z
7l6DilARDQgj7HLgQ9lAN4,2018-01-18T22:01:41Z
1M6m3xfwinMZQ2ZvpgyoJz,2018-01-18T22:05:57Z
70UaWpMdFS0OtFQWC48Klj,2018-01-18T22:10:15Z
28l6xJuFdnX5NvlvOZtQK9,2018-01-18T22:12:50Z
0vZS0G95p05nhZp52wt0zd,2018-01-18T22:16:19Z
5ReF8af2s5RBIve3JvWxI6,2018-01-18T22:20:19Z
1GUK48Vm37ng2jwxWjWb4z,2018-01-18T22:23:49Z
4LFGnKNI6CU8jYkQoMNgDt,2018-01-18T22:28:43Z
6nFlDEIS4a6KflpLuqavKX,2018-01-18T22:32:51Z
3sb6NagmHdUeFIH02QIqrq,2018-01-18T22:36:17Z
5kVSgCk38ebsalKQZQqSLv,2018-01-18T22:40:09Z
7esOHMVot1TmGrXM6o7Ewt,2018-01-18T22:44:14Z
62wcTLbFPXnGKdHNYCnax5,2018-01-18T22:47:08Z
4dvbHCDd2mqwgVeEZ5VTFh,2018-01-18T22:50:06Z
1TGL0zcPzuqwFP60lNsjsm,2018-01-18T22:54:17Z
6UnyyqH6a1RBgx87DwWgVO,2018-01-18T22:57:09Z
5hJgjCZol0fmTRoEUGNvK2,2018-01-18T23:04:31Z
1rGqHFnZNmhNHXDG1V53hT,2018-01-18T23:09:28Z
6Tod7K66GZUGReQS8G4KRI,2018-01-19T01:48:27Z
1M6m3xfwinMZQ2ZvpgyoJz,2018-01-19T01:52:42Z
5Jgo5cDlZaz2JlZgHEgbgN,2018-01-19T01:52:49Z
6yly6C4QeDi4N1CpnFrJc7,2018-01-19T01:56:16Z
7l6DilARDQgj7HLgQ9lAN4,2018-01-19T01:56:21Z
4yZf3ui3Jc8dx8MMVZtHWE,2018-01-19T01:56:24Z
62wcTLbFPXnGKdHNYCnax5,2018-01-19T01:56:27Z
2pZ5cBWrBm5zpoLbG3FoQi,2018-01-19T01:56:32Z
77m3LSo4IJmbOgWRg6cwEF,2018-01-19T01:56:56Z
1TGL0zcPzuqwFP60lNsjsm,2018-01-19T15:59:46Z
1D0z0IDhR4O7W5lyViIhLH,2018-01-19T16:48:31Z
0aFyF4NJ3eepbaVjQc3i4g,2018-01-19T16:52:21Z
6dQ5bYDXKAYy7hqDrWwKD8,2018-01-19T16:56:42Z
4rKOTJvLTnTm2XC5o3owGk,2018-01-19T17:02:13Z
7gOidh6WZL5LOnnWdd6Ool,2018-01-19T17:03:14Z
4FE8Z7hRcMJY0Pvj5mmkGC,2018-01-19T17:07:38Z
24hDCOaOL4omtZK2SbOpjt,2018-01-19T17:08:22Z
54ujGZRlMaAMFBel97ebyZ,2018-01-19T17:11:34Z
