album_id,artist_ids,disc_number,duration_ms,explicit,external_ids,external_urls,href,id,is_local,name,popularity,preview_url,track_number,type,uri
0SJjqErbyJDc46YKzV4ein,"[""2hejA1Dkf8v8R0koF44FvW""]",1,272000,1,"{""isrc"": ""QZNJV2030100""}","{""spotify"": ""https://open.spotify.com/track/00Lz6oOMNjlCthAaiQLsfr""}",https://api.spotify.com/v1/tracks/00Lz6oOMNjlCthAaiQLsfr,00Lz6oOMNjlCthAaiQLsfr,0,Maldito Romántico,56,https://p.scdn.co/mp3-preview/302984cdd65194bcdaf313e58a07dccad0232665?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,6,track,spotify:track:00Lz6oOMNjlCthAaiQLsfr
3T14jWL8l2JUSYzh67Crf6,"[""5pR3pEU0bCMZhhAzag3DUz""]",1,267333,1,"{""isrc"": ""QZ5AB2005480""}","{""spotify"": ""https://open.spotify.com/track/00TPikzhlAO79taN4K8VDK""}",https://api.spotify.com/v1/tracks/00TPikzhlAO79taN4K8VDK,00TPikzhlAO79taN4K8VDK,0,Kintsugi,36,https://p.scdn.co/mp3-preview/48d618b53bbc4a383b72ee9d390b2f9c9242b49c?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,8,track,spotify:track:00TPikzhlAO79taN4K8VDK
70WPUwHcJq2pRObNPByUaV,"[""4TPTW3cTwUtiihgOMSQfmy""]",1,275933,0,"{""isrc"": ""US66W0500158""}","{""spotify"": ""https://open.spotify.com/track/00Z3s0Xw7oE3fgTSZVjEFs""}",https://api.spotify.com/v1/tracks/00Z3s0Xw7oE3fgTSZVjEFs,00Z3s0Xw7oE3fgTSZVjEFs,0,Mirando a las muchachas,41,https://p.scdn.co/mp3-preview/5653f61b22f737f2db1a845ff84696d712faa41a?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,3,track,spotify:track:00Z3s0Xw7oE3fgTSZVjEFs
0u6btZI3GPFtYX8T4DDW8O,"[""07PdYoE4jVRF6Ut40GgVSP""]",1,225240,1,"{""isrc"": ""MX3601600027""}","{""spotify"": ""https://open.spotify.com/track/00jpfco62YfQj1BBYCCuKH""}",https://api.spotify.com/v1/tracks/00jpfco62YfQj1BBYCCuKH,00jpfco62YfQj1BBYCCuKH,0,Leve,72,https://p.scdn.co/mp3-preview/c9db5bf6d46d7b2db23486962159ac211ce39b82?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,2,track,spotify:track:00jpfco62YfQj1BBYCCuKH
2ORTPJq31Eq2jpcmPt6ZN9,"[""5jqthxfFYopjmVQ2ZI4fK1""]",1,250681,1,"{""isrc"": ""QZHZ41977893""}","{""spotify"": ""https://open.spotify.com/track/00qVP7ZX0UJqvqJrhZWgYq""}",https://api.spotify.com/v1/tracks/00qVP7ZX0UJqvqJrhZWgYq,00qVP7ZX0UJqvqJrhZWgYq,0,Núm3Ros,0,https://p.scdn.co/mp3-preview/e7f7cd2f85157efad8b151e86732308e91aa2f07?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:00qVP7ZX0UJqvqJrhZWgYq
6pV6SSMwxUzqGRC5OZjrCi,"[""3vV4Tf1iC8vEP9fLOLGUfP""]",1,121895,1,"{""isrc"": ""QMBZ92263756""}","{""spotify"": ""https://open.spotify.com/track/00r6SXWE6lvfikdbsl6qSR""}",https://api.spotify.com/v1/tracks/00r6SXWE6lvfikdbsl6qSR,00r6SXWE6lvfikdbsl6qSR,0,Cuando,0,https://p.scdn.co/mp3-preview/a0ca7466d55aed8b5ed80a5fa58c737488a4abc2?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:00r6SXWE6lvfikdbsl6qSR
6GPiGDV1SQaZJPuUSXmeKF,"[""4RtYPfT9hi1qBolEuVArOG""]",1,134930,1,"{""isrc"": ""QZHZ31954891""}","{""spotify"": ""https://open.spotify.com/track/01CASOFogcu3yZaARvxtAc""}",https://api.spotify.com/v1/tracks/01CASOFogcu3yZaARvxtAc,01CASOFogcu3yZaARvxtAc,0,Del Año,23,https://p.scdn.co/mp3-preview/ff61008c76865ca9182a46e6654bb23e1fa3abb4?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,4,track,spotify:track:01CASOFogcu3yZaARvxtAc
3q2FYHcefIUIvAEBHWcdyT,"[""2bj9MQez88g09q4NSr2xjS""]",1,161359,0,"{""isrc"": ""USHM81936465""}","{""spotify"": ""https://open.spotify.com/track/01kr3PnbFQZXP5XdPedwpx""}",https://api.spotify.com/v1/tracks/01kr3PnbFQZXP5XdPedwpx,01kr3PnbFQZXP5XdPedwpx,0,Mala Mía,27,https://p.scdn.co/mp3-preview/0f31a5e4c4a16bf9521fecfcac135706fe0ac483?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:01kr3PnbFQZXP5XdPedwpx
0rEzNORhsOrbHxxZxUe67P,"[""6JG2QQcaQBzinELNvu9PRk""]",1,219785,1,"{""isrc"": ""QZHZ31916305""}","{""spotify"": ""https://open.spotify.com/track/01nV5tQ4pCpKIIJ3AVxKdv""}",https://api.spotify.com/v1/tracks/01nV5tQ4pCpKIIJ3AVxKdv,01nV5tQ4pCpKIIJ3AVxKdv,0,Generé,32,https://p.scdn.co/mp3-preview/3eaefe29906bd8f75be2c30c9a8a4f1459ff2622?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,7,track,spotify:track:01nV5tQ4pCpKIIJ3AVxKdv
3Eubo97y5NcXWz7PsCzHIT,"[""5ZNxiPcbKgaNcBrERMpqeu""]",2,296751,0,"{""isrc"": ""ES6880400795""}","{""spotify"": ""https://open.spotify.com/track/02dphTJYUQ9pmdNC52iyOz""}",https://api.spotify.com/v1/tracks/02dphTJYUQ9pmdNC52iyOz,02dphTJYUQ9pmdNC52iyOz,0,Fiesta Pagana,69,https://p.scdn.co/mp3-preview/97ed24596d45ce26ebeb048d6d7d8e778761949b?cid=5a0ffed4bc0642d794ffd4ab473c1b8f,1,track,spotify:track:02dphTJYUQ9pmdNC52iyOz
